Frame,C2H6_gas,C2H8_gas,C3H12_gas,CH2O*,CH2_gas,CH3O*,CH3_gas,CH4O*,CH4_gas,CH5_gas,CH_gas,C_gas,H*,H2_gas,H_gas,O*,OH*
298,1,,,,1,1,3,,43,,,,1,2,3,24,
299,1,,,,1,1,2,,44,,,,1,2,2,24,
300,1,,,,1,1,2,,44,,,,1,2,2,24,
301,1,,,,1,1,2,,44,,,,1,2,2,24,
302,1,,,,1,1,2,,44,,,,1,2,2,24,
303,1,,,,1,1,3,,43,,,,1,2,3,24,
304,1,,,,1,1,3,,43,,,,1,2,3,24,
305,1,,,,1,1,2,,44,,,,1,2,2,24,
306,1,,,,1,1,2,,44,,,,2,2,1,24,
307,1,,,,1,1,2,,44,,,,2,2,1,24,
308,1,,,,1,1,2,,44,,,,1,2,2,24,
309,1,,,,1,1,2,,44,,,,1,2,2,24,
310,1,,,,1,1,2,,44,,,,1,2,2,24,
311,1,,,,1,1,2,,44,,,,1,2,2,24,
312,1,,,,1,1,2,,44,,,,1,2,2,24,
313,1,,,,1,1,2,,44,,,,1,2,2,24,
314,1,,,,1,1,2,,44,,,,1,2,2,24,
315,1,,,,1,1,2,,44,,,,1,2,2,24,
316,1,,,,1,1,2,,44,,,,1,2,2,24,
317,1,,,,1,1,2,,44,,,,2,2,1,24,
318,1,,,,1,1,2,,44,,,,1,2,2,24,
319,1,,,,1,1,2,,44,,,,2,2,1,24,
320,1,,,,1,1,2,,44,,,,2,2,1,24,
321,1,,,,1,1,3,,43,,,,2,2,2,24,
322,1,,,,1,1,3,,43,,,,1,2,2,23,1
323,1,,,,1,1,2,,44,,,,1,2,1,23,1
324,1,,,,1,1,2,,44,,,,1,2,1,23,1
325,1,,,,1,1,2,,44,,,,1,2,1,23,1
326,1,,,,1,1,2,,44,,,,2,2,1,24,
327,1,,,,1,1,3,,43,,,,2,2,2,24,
328,1,,,,1,1,3,,43,,,,3,2,1,24,
329,1,,,,1,1,2,,44,,,,2,2,1,24,
330,1,,,,1,1,2,,44,,,,2,2,1,24,
331,1,,,,1,1,2,,44,,,,1,2,2,24,
332,1,,,,1,1,2,,44,,,,1,2,2,24,
333,1,,,,1,1,3,,43,,,,2,2,2,24,
334,1,,,,1,1,3,,43,,,,2,2,2,24,
335,1,,,,1,1,2,,44,,,,2,2,1,24,
336,1,,,,1,1,2,,44,,,,2,2,1,24,
337,1,,,,1,1,2,,44,,,,2,2,1,24,
338,1,,,,1,1,2,,44,,,,2,2,1,24,
339,1,,,,1,1,2,,44,,,,3,2,,24,
340,1,,,,1,1,2,,44,,,,2,2,1,24,
341,1,,,,1,1,2,,44,,,,1,2,2,24,
342,1,,,,1,1,2,,44,,,,1,2,2,24,
343,1,,,,1,1,2,,44,,,,1,2,2,24,
344,1,,,,1,1,2,,44,,,,1,2,2,24,
345,1,,,,1,1,2,,44,,,,1,2,2,24,
346,1,,,,1,1,2,,44,,,,1,2,2,24,
347,1,,,,1,1,2,,44,,,,1,2,2,24,
348,1,,,,1,1,2,,44,,,,1,2,2,24,
349,1,,,,1,1,2,,44,,,,2,2,1,24,
350,1,,,,1,1,2,,44,,,,3,2,,24,
351,1,,,,1,1,2,,44,,,,2,2,1,24,
352,1,,,,1,1,3,,43,,,,2,2,2,24,
353,1,,,,1,1,3,,43,,,,2,2,2,24,
354,1,,,,1,1,2,,44,,,,2,2,1,24,
355,1,,,,1,1,2,,44,,,,1,2,2,24,
356,1,,,,1,1,2,,44,,,,1,2,2,24,
357,1,,,,1,1,2,,44,,,,1,2,2,24,
358,1,,,,1,1,3,,43,,,,1,2,3,24,
359,1,,,,1,1,3,,43,,,,1,2,2,23,1
360,1,,,,1,1,2,,44,,,,1,2,1,23,1
361,1,,,,1,1,2,,44,,,,1,2,2,24,
362,1,,,,1,1,2,,44,,,,1,2,2,24,
363,1,,,,1,1,2,,44,,,,1,2,2,24,
364,1,,,,1,1,3,,43,,,,1,2,3,24,
365,1,,,,1,1,3,,43,,,,1,2,3,24,
366,1,,,,1,1,2,,44,,,,1,2,2,24,
367,1,,,,1,1,2,,44,,,,1,2,2,24,
368,1,,,,1,1,2,,43,1,,,1,2,1,24,
369,1,,,,1,1,2,,44,,,,1,2,2,24,
370,1,,,,1,1,3,,43,,,,1,2,3,24,
371,1,,,,1,1,4,,42,,,,2,2,3,24,
372,1,,,,1,1,3,,43,,,,2,2,2,24,
373,1,,,,1,1,3,,43,,,,1,2,3,24,
374,1,,,,1,1,2,,44,,,,1,2,2,24,
375,1,,,,1,1,2,,44,,,,1,2,2,24,
376,1,,,,1,1,3,,43,,,,1,2,3,24,
377,1,,,,1,1,3,,43,,,,1,2,3,24,
378,1,,,,1,1,2,,44,,,,1,2,2,24,
379,1,,,,1,1,2,,44,,,,2,2,1,24,
380,1,,,,1,1,2,,43,1,,,1,2,1,24,
381,1,,,,1,1,2,,43,1,,,1,2,1,24,
382,1,,,,1,1,2,,43,1,,,1,2,1,24,
383,1,,,,1,1,2,,44,,,,1,2,2,24,
384,1,,,,1,1,2,,44,,,,1,2,2,24,
385,1,,,,1,1,2,,44,,,,1,2,2,24,
386,1,,,,1,1,2,,44,,,,1,2,2,24,
387,1,,,,1,1,3,,43,,,,1,2,3,24,
388,1,,,,1,1,2,,44,,,,2,2,1,24,
389,1,,,,1,1,2,,44,,,,1,2,1,23,1
390,1,,,,1,1,2,,44,,,,1,2,1,23,1
391,1,,,,1,1,2,,44,,,,1,2,1,23,1
392,1,,,,1,1,3,,43,,,,1,2,3,24,
393,1,,,,1,1,3,,43,,,,1,2,3,24,
394,1,,,,1,1,2,,44,,,,1,2,2,24,
395,1,,,,1,1,2,,44,,,,1,2,1,23,1
396,1,,,,1,1,2,,44,,,,1,2,1,23,1
397,1,,,,1,1,2,,44,,,,1,2,1,23,1
398,1,,,,1,1,2,,44,,,,1,2,1,23,1
399,1,,,,1,1,2,,44,,,,1,2,2,24,
400,1,,,,1,1,2,,44,,,,2,2,1,24,
401,1,,,,1,1,2,,44,,,,1,2,1,23,1
402,1,,,,1,1,2,,44,,,,1,2,1,23,1
403,1,,,,1,1,2,,44,,,,1,2,1,23,1
404,1,,,,1,1,2,,44,,,,1,2,1,23,1
405,1,,,,1,1,2,,44,,,,1,2,1,23,1
406,1,,,,1,1,2,,44,,,,1,2,1,23,1
407,1,,,,1,1,2,,44,,,,1,2,1,23,1
408,1,,,,1,1,2,,44,,,,1,2,1,23,1
409,1,,,,1,1,2,,44,,,,1,2,1,23,1
410,1,,,,1,1,3,,43,,,,2,2,2,24,
411,1,,,,1,1,3,,43,,,,2,2,2,24,
412,1,,,,1,1,2,,44,,,,1,2,1,23,1
413,1,,,,1,1,2,,44,,,,1,2,1,23,1
414,1,,,,1,1,2,,44,,,,1,2,1,23,1
415,1,,,,1,1,2,,44,,,,1,2,1,23,1
416,1,,,,1,1,2,,44,,,,1,2,1,23,1
417,1,,,,1,1,2,,44,,,,1,2,1,23,1
418,1,,,,1,1,2,,44,,,,1,2,1,23,1
419,1,,,,1,1,2,,44,,,,1,2,1,23,1
420,1,,,,1,1,2,,44,,,,1,2,1,23,1
421,1,,,,1,1,2,,44,,,,1,2,,22,2
422,1,,,,1,1,2,,44,,,,2,2,,23,1
423,1,,,,1,1,2,,44,,,,1,2,1,23,1
424,1,,,,1,1,2,,44,,,,1,2,1,23,1
425,1,,,,1,1,2,,44,,,,1,2,1,23,1
426,1,,,,1,1,2,,44,,,,1,2,1,23,1
427,1,,,,1,1,2,,44,,,,1,2,1,23,1
428,1,,,,1,1,2,,44,,,,1,2,1,23,1
429,1,,,,1,1,2,,44,,,,1,2,1,23,1
430,1,,,,1,1,2,,44,,,,1,2,1,23,1
431,1,,,,1,1,2,,44,,,,1,2,1,23,1
432,1,,,,1,1,2,,44,,,,1,2,1,23,1
433,1,,,,1,1,2,,44,,,,1,2,1,23,1
434,1,,,,1,1,2,,44,,,,1,2,1,23,1
435,1,,,,1,1,2,,44,,,,1,2,1,23,1
436,1,,,,1,1,2,,44,,,,1,2,1,23,1
437,1,,,,1,1,2,,44,,,,1,2,1,23,1
438,1,,,,1,1,2,,44,,,,1,2,1,23,1
439,1,,,,1,1,2,,44,,,,1,2,1,23,1
440,1,,,,1,1,2,,44,,,,1,2,1,23,1
441,1,,,,1,1,2,,44,,,,2,2,,23,1
442,1,,,,1,1,2,,44,,,,2,2,,23,1
443,1,,,,1,1,2,,44,,,,1,2,1,23,1
444,1,,,,1,1,2,,44,,,,1,2,1,23,1
445,1,,,,1,1,2,,44,,,,1,2,1,23,1
446,1,,,,1,1,2,,44,,,,1,2,2,24,
447,1,,,,1,1,2,,44,,,,1,2,2,24,
448,1,,,,1,1,2,,44,,,,1,2,2,24,
449,1,,,,1,1,2,,44,,,,1,2,2,24,
450,1,,,,1,1,2,,44,,,,1,2,2,24,
451,1,,,,1,1,2,,44,,,,1,2,2,24,
452,1,,,,1,1,2,,44,,,,1,2,2,24,
453,1,,,,1,1,2,,44,,,,1,2,2,24,
454,1,,,,1,1,2,,44,,,,1,2,2,24,
455,1,,,,1,1,2,,44,,,,1,2,2,24,
456,1,,,,1,1,2,,44,,,,1,2,2,24,
457,1,,,,1,1,2,,44,,,,2,2,1,24,
458,1,,,,1,1,2,,44,,,,2,2,1,24,
459,1,,,,1,1,2,,44,,,,2,2,1,24,
460,1,,,,1,1,2,,44,,,,2,2,1,24,
461,1,,,,1,1,2,,44,,,,2,2,,23,1
462,1,,,,1,1,2,,44,,,,2,2,,23,1
463,1,,,,1,1,2,,44,,,,2,2,,23,1
464,1,,,,1,1,3,,43,,,,1,2,2,23,1
465,1,,,,1,1,3,,43,,,,1,2,2,23,1
466,1,,,,1,1,2,,44,,,,1,2,1,23,1
467,1,,,,1,1,2,,44,,,,1,2,1,23,1
468,1,,,,1,1,2,,44,,,,1,2,1,23,1
469,1,,,,1,1,2,,44,,,,1,2,1,23,1
470,1,,,,1,1,2,,44,,,,1,2,1,23,1
471,1,,,,1,1,2,,44,,,,1,2,1,23,1
472,1,,,,1,1,2,,44,,,,1,2,1,23,1
473,1,,,,1,1,2,,44,,,,1,2,1,23,1
474,1,,,,1,1,2,,44,,,,1,2,1,23,1
475,1,,,,1,1,2,,44,,,,1,2,1,23,1
476,1,,,,1,1,2,,44,,,,1,2,1,23,1
477,1,,,,1,1,2,,44,,,,1,2,1,23,1
478,1,,,,1,1,2,,44,,,,1,2,1,23,1
479,1,,,,1,1,2,,44,,,,1,2,1,23,1
480,1,,,,1,1,2,,44,,,,1,2,1,23,1
481,1,,,,1,1,2,,44,,,,1,2,1,23,1
482,1,,,,1,1,2,,44,,,,1,2,1,23,1
483,1,,,,1,1,2,,44,,,,1,2,1,23,1
484,1,,,,1,1,2,,44,,,,1,2,1,23,1
485,1,,,,1,1,2,,44,,,,1,2,,22,2
